Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,C_1206_3216Metric,142.5,-45.0,0.0,top
C2,20nF,C_0603_1608Metric,164.75,-97.55,180.0,top
C3,47uF,C_1206_3216Metric,142.5,-47.75,0.0,top
C4,1uF,C_0603_1608Metric,164.75,-104.55,180.0,top
C5,47nF,C_0603_1608Metric,125.575,-80.0,180.0,top
C6,47pF,C_0603_1608Metric,125.575,-78.25,0.0,top
C7,1uF,C_0603_1608Metric,138.5,-81.75,0.0,top
C8,100nF,C_0603_1608Metric,125.075,-97.75,0.0,top
C9,10uF,C_0603_1608Metric,125.075,-104.75,0.0,top
D2,1N4148W,D_SOD-123,142.5,-42.25,0.0,top
D3,1N4148W,D_SOD-123,125.575,-85.5,180.0,top
D4,1N4148W,D_SOD-123,125.575,-82.75,0.0,top
Q1,MMBT2222A,SOT-23,171.25,-101.05,0.0,top
Q2,MMBT2222A,SOT-23,131.9375,-101.05,0.0,top
R1,470R,R_0603_1608Metric,163.75,-134.25,180.0,top
R10,1k,R_0603_1608Metric,138.5,-73.0,0.0,top
R11,10k,R_0603_1608Metric,138.5,-74.75,0.0,top
R12,220,R_0603_1608Metric,138.5,-76.5,0.0,top
R13,1k,R_0603_1608Metric,138.5,-78.25,0.0,top
R14,1k,R_0603_1608Metric,138.5,-80.0,0.0,top
R15,510k,R_0603_1608Metric,125.075,-99.5,0.0,top
R16,10k,R_0603_1608Metric,125.075,-101.25,0.0,top
R2,10K,R_0603_1608Metric,142.5,-50.075,0.0,top
R3,10K,R_0603_1608Metric,142.5,-51.825,0.0,top
R4,1k,R_0603_1608Metric,164.75,-99.29,0.0,top
R5,510k,R_0603_1608Metric,164.75,-101.05,180.0,top
R6,10k,R_0603_1608Metric,164.75,-102.8,0.0,top
R7,4.7k,R_0603_1608Metric,125.575,-76.5,0.0,top
R8,10k,R_0603_1608Metric,125.575,-74.75,0.0,top
R9,51k,R_0603_1608Metric,125.575,-73.0,0.0,top
RB1,10k,R_0603_1608Metric,125.075,-103.0,0.0,top
RC1,10k,R_0603_1608Metric,163.75,-136.25,0.0,top
U1,TL072,SOIC-8_3.9x4.9mm_P1.27mm,132.0,-78.5,0.0,top
